latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
43.23875,-4.29472,295.46,0.4,0.37,2023-01-01,0223,N20,VIIRS,n,2,273.81,0.72,N,0
43.43533,-4.96283,334.16,0.39,0.36,2023-01-01,0223,N20,VIIRS,n,2,265.11,3.51,N,0
43.43205,-4.96394,327.49,0.39,0.36,2023-01-01,0223,N20,VIIRS,n,2,270.13,3.51,N,0
43.43612,-4.96746,298.57,0.39,0.36,2023-01-01,0223,N20,VIIRS,n,2,274.66,3.51,N,0
43.24565,-4.31366,302.7,0.4,0.37,2023-01-01,0223,N20,VIIRS,n,2,274.08,1.05,N,0
43.43287,-4.96877,302.76,0.39,0.36,2023-01-01,0223,N20,VIIRS,n,2,270.25,3.51,N,0
43.24478,-4.51654,295.13,0.4,0.37,2023-01-01,0223,N20,VIIRS,n,2,280.1,1.04,N,0
43.24236,-4.52271,312.19,0.4,0.37,2023-01-01,0223,N20,VIIRS,n,2,280.67,1.53,N,0
39.61185,-5.50233,303.44,0.41,0.37,2023-01-01,0224,N20,VIIRS,n,2,280.4,0.69,N,0
38.37615,-0.5464,295.21,0.45,0.47,2023-01-01,0224,N20,VIIRS,n,2,265.48,0.29,N,2
37.36187,-5.86712,298.99,0.42,0.38,2023-01-01,0225,N20,VIIRS,n,2,278.01,0.94,N,2
43.52473,-5.72908,319.83,0.45,0.39,2023-01-02,0204,N20,VIIRS,n,2,281.31,1.23,N,2
43.5283,-5.72828,299.14,0.45,0.39,2023-01-02,0204,N20,VIIRS,n,2,282.88,1.23,N,2
43.52896,-5.73376,299.83,0.45,0.39,2023-01-02,0204,N20,VIIRS,n,2,280.6,1.23,N,2
41.31176,1.65997,305.48,0.46,0.39,2023-01-02,0205,N20,VIIRS,n,2,278.4,1.75,N,2
38.10289,-0.83178,332.71,0.41,0.45,2023-01-02,1327,N20,VIIRS,n,2,286.23,2.94,D,0
43.52523,-5.7278,339.56,0.44,0.38,2023-01-02,1329,N20,VIIRS,n,2,289.27,3.21,D,2
43.54148,-5.83211,327.63,0.44,0.38,2023-01-02,1329,N20,VIIRS,n,2,287.87,4.1,D,2
43.54296,-5.83098,311.12,0.49,0.49,2023-01-03,0146,N20,VIIRS,n,2,277.39,2.44,N,2
43.53849,-5.83173,324.38,0.49,0.49,2023-01-03,0146,N20,VIIRS,n,2,276.97,2.44,N,2
43.54096,-5.83146,330.19,0.49,0.49,2023-01-03,0146,N20,VIIRS,n,2,278.78,3.8,N,2
43.52824,-5.72929,297.06,0.48,0.48,2023-01-03,0146,N20,VIIRS,n,2,279.21,1.78,N,2
38.32354,-1.67842,335.67,0.39,0.36,2023-01-03,1308,N20,VIIRS,n,2,294.34,6.38,D,0
38.32685,-1.67918,337.8,0.39,0.36,2023-01-03,1308,N20,VIIRS,n,2,294.75,6.38,D,0
41.67222,0.8971,325.74,0.49,0.4,2023-01-03,1309,N20,VIIRS,n,2,285.8,2.45,D,0
42.38928,-2.73464,331,0.39,0.37,2023-01-03,1309,N20,VIIRS,n,2,285.3,4.51,D,0
42.38596,-2.73381,330.37,0.39,0.37,2023-01-03,1309,N20,VIIRS,n,2,286.37,4.51,D,0
42.35936,-1.6838,335.46,0.41,0.37,2023-01-03,1309,N20,VIIRS,n,2,288.7,3.56,D,0
41.56083,-1.37477,336.89,0.41,0.37,2023-01-03,1309,N20,VIIRS,n,2,290.73,4.53,D,0
41.22775,-1.64767,329.19,0.41,0.37,2023-01-03,1309,N20,VIIRS,n,2,285.49,2.67,D,0
39.81629,-4.99079,327,0.4,0.37,2023-01-03,1309,N20,VIIRS,n,2,286.52,1.26,D,0
40.03425,-0.01019,340.04,0.44,0.38,2023-01-03,1309,N20,VIIRS,n,2,290.66,4.07,D,0
39.41615,-1.25552,325.13,0.4,0.37,2023-01-03,1309,N20,VIIRS,n,2,283.23,2,D,0
43.10275,-2.38508,328.82,0.4,0.37,2023-01-03,1310,N20,VIIRS,n,2,288.33,1.72,D,0
43.5297,-5.72987,300.32,0.42,0.61,2023-01-04,0127,N20,VIIRS,n,2,278.15,1.12,N,2
43.03716,-2.21892,301.73,0.55,0.51,2023-01-04,0127,N20,VIIRS,n,2,274.28,0.76,N,2
41.31376,1.66021,309.07,0.52,0.41,2023-01-04,0127,N20,VIIRS,n,2,279.74,1.57,N,2
43.03607,-2.21942,298.94,0.55,0.51,2023-01-04,0127,N20,VIIRS,n,2,273.45,1.07,N,2
41.3126,1.66028,308.83,0.52,0.41,2023-01-04,0127,N20,VIIRS,n,2,279.4,2.13,N,2
43.53926,-5.83035,297.05,0.43,0.62,2023-01-04,0127,N20,VIIRS,n,2,275.54,1.36,N,2
43.53946,-5.83575,309.09,0.43,0.62,2023-01-04,0127,N20,VIIRS,n,2,276.4,2.06,N,2
43.54076,-5.83261,312.52,0.43,0.62,2023-01-04,0127,N20,VIIRS,n,2,276.65,1.36,N,2
43.54094,-5.83798,303.64,0.43,0.62,2023-01-04,0127,N20,VIIRS,n,2,277.03,1.36,N,2
43.52642,-5.72988,296.9,0.32,0.55,2023-01-04,0307,N20,VIIRS,n,2,272.59,0.68,N,2
28.01024,-16.65345,314.14,0.39,0.44,2023-01-04,0312,N20,VIIRS,n,2,287.01,1.3,N,0
37.41567,-2.14078,330.13,0.47,0.4,2023-01-04,1249,N20,VIIRS,n,2,292.87,2.06,D,0
37.17372,-3.73232,332.87,0.56,0.43,2023-01-04,1249,N20,VIIRS,n,2,289.36,4.97,D,0
37.37985,-2.66296,327.37,0.5,0.41,2023-01-04,1249,N20,VIIRS,n,2,290.2,3.15,D,0
39.33272,-1.83045,327.84,0.44,0.38,2023-01-04,1250,N20,VIIRS,n,2,288.89,3.02,D,0
39.46646,-0.57247,337.49,0.4,0.37,2023-01-04,1250,N20,VIIRS,n,2,291.64,4.82,D,0
39.46495,-0.57342,339.57,0.4,0.37,2023-01-04,1250,N20,VIIRS,n,2,292.07,4.38,D,0
41.62739,0.15751,334.93,0.39,0.36,2023-01-04,1250,N20,VIIRS,n,2,286.19,5.96,D,0
38.79351,-2.40603,328.91,0.46,0.39,2023-01-04,1250,N20,VIIRS,n,2,287.1,2.84,D,0
39.85539,4.18419,329.7,0.42,0.38,2023-01-04,1250,N20,VIIRS,n,2,288.33,2.72,D,0
