latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
41.31299,1.66177,303.74,0.53,0.42,2024-01-02,0212,N,VIIRS,n,2,274.08,1.38,N,2
38.87034,-0.47144,316.05,0.47,0.4,2024-01-02,0212,N,VIIRS,n,2,272.44,1.1,N,0
40.24568,-3.47562,322.98,0.39,0.36,2024-01-02,0212,N,VIIRS,n,2,276.38,2.24,N,2
37.85404,-4.78743,328.44,0.48,0.4,2024-01-02,1334,N,VIIRS,n,2,288.72,3.1,D,0
39.38113,-0.43651,343.62,0.48,0.4,2024-01-03,1315,N,VIIRS,n,2,294.92,16.6,D,0
39.3795,-0.43831,343.05,0.48,0.4,2024-01-03,1316,N,VIIRS,n,2,296.51,15.08,D,0
43.22678,-2.88064,302.59,0.49,0.49,2024-01-04,0134,N,VIIRS,n,2,278.97,0.62,N,0
41.4535,1.97851,302.25,0.44,0.38,2024-01-04,0134,N,VIIRS,n,2,278.75,0.87,N,2
43.03642,-2.2176,308.12,0.46,0.47,2024-01-04,0134,N,VIIRS,n,2,277.96,2,N,2
41.31242,1.66232,297.79,0.45,0.39,2024-01-04,0134,N,VIIRS,n,2,270.65,0.69,N,2
43.53953,-5.83228,301.39,0.38,0.59,2024-01-04,0314,N,VIIRS,n,2,271.33,0.83,N,2
28.61507,-17.87115,300,0.4,0.44,2024-01-04,0319,N,VIIRS,n,2,289.24,1.51,N,2
41.13129,1.02279,336.69,0.4,0.37,2024-01-04,1257,N,VIIRS,n,2,290.25,4.83,D,0
41.12794,1.02361,334.39,0.4,0.37,2024-01-04,1257,N,VIIRS,n,2,290.08,4.83,D,0
41.49329,-1.30293,335.3,0.38,0.36,2024-01-04,1257,N,VIIRS,n,2,287.44,3.08,D,0
43.1576,-3.90136,331.72,0.41,0.37,2024-01-04,1258,N,VIIRS,n,2,276.88,2.67,D,0
43.53883,-5.83376,302.75,0.6,0.71,2024-01-05,0115,N,VIIRS,n,2,276.84,1.5,N,2
43.52461,-5.7339,295.91,0.6,0.7,2024-01-05,0115,N,VIIRS,n,2,277.69,1.68,N,2
40.24384,-3.47896,301.13,0.78,0.78,2024-01-06,0057,N,VIIRS,n,2,274.43,2.15,N,2
38.63081,-0.01302,299.39,0.34,0.56,2024-01-06,0237,N,VIIRS,n,2,282.02,2.94,N,0
38.62869,-0.00479,299.24,0.34,0.56,2024-01-06,0237,N,VIIRS,n,2,282.92,1.97,N,3
38.63517,-0.00861,367,0.34,0.56,2024-01-06,0237,N,VIIRS,h,2,286.23,4.79,N,0
40.24539,-3.47663,315.93,0.42,0.45,2024-01-06,0237,N,VIIRS,n,2,276.71,2.17,N,2
43.52427,-5.73301,300.13,0.44,0.39,2024-01-06,0237,N,VIIRS,n,2,269.95,1.11,N,2
38.62983,-0.00923,343.09,0.34,0.56,2024-01-06,0237,N,VIIRS,n,2,283.09,2.94,N,0
38.63608,-0.01216,318.45,0.34,0.56,2024-01-06,0237,N,VIIRS,n,2,282.01,4.79,N,0
41.31445,1.66045,295.78,0.35,0.57,2024-01-06,0237,N,VIIRS,n,2,271.71,0.83,N,2
41.19064,1.2191,301.51,0.33,0.56,2024-01-06,0237,N,VIIRS,n,2,270.89,0.9,N,0
38.63408,-0.00439,296.52,0.34,0.56,2024-01-06,0237,N,VIIRS,n,2,281.74,2.21,N,0
38.32017,-6.7161,303.05,0.49,0.4,2024-01-06,0238,N,VIIRS,n,2,276.09,0.55,N,0
36.18145,-5.42506,299.42,0.41,0.45,2024-01-06,0238,N,VIIRS,n,2,280.71,1,N,2
38.66712,-4.04788,340.01,0.37,0.58,2024-01-06,1400,N,VIIRS,n,2,281.9,5.27,D,2
38.66735,-4.04356,328.75,0.37,0.58,2024-01-06,1400,N,VIIRS,n,2,281.68,5.29,D,0
38.66193,-4.04288,330.75,0.37,0.58,2024-01-06,1400,N,VIIRS,n,2,283.58,3.92,D,0
43.52465,-5.72755,328.36,0.33,0.56,2024-01-06,1401,N,VIIRS,n,2,283.55,2.12,D,2
